Cryptocurrency,Price (USD),24h Volume (USD),Market Cap (USD),SMA (10)
bitcoin,63176.27748140863,,,63493.75495362495
bitcoin,63035.96190672631,,,63412.771359497434
bitcoin,62963.619087084044,,,63342.80651638498
bitcoin,62977.99362070827,,,63261.140834957376
bitcoin,62340.31538268507,,,63150.645582285164
bitcoin,62898.995521616875,,,63095.44650726905
bitcoin,62741.96191420676,,,63016.0487533103
bitcoin,63275.835641788275,,,62983.04054004309
bitcoin,63218.74334629486,,,62948.81930542692
bitcoin,63133.41577914984,,,62976.31196816689
bitcoin,63112.814854791555,,,62969.96570550519
bitcoin,63137.69335249423,,,62980.13885008198
bitcoin,62927.858786150224,,,62976.5628199886
bitcoin,62901.80988214561,,,62968.94444613232
bitcoin,62903.375684484614,,,63025.250476312285
bitcoin,62814.00849523848,,,63016.75177367445
bitcoin,62913.746842802204,,,63033.93026653399
bitcoin,63014.15616462684,,,63007.76231881784
bitcoin,63062.570729513565,,,62992.14505713971
bitcoin,63034.28908934001,,,62982.232388158736
bitcoin,63016.36348613192,,,62972.587251292774
bitcoin,63073.66137369207,,,62966.18405341256
bitcoin,63095.753063338765,,,62982.97348113141
bitcoin,63163.604253392645,,,63009.152918256106
bitcoin,63180.17536879339,,,63036.83288668698
bitcoin,63195.459726426394,,,63074.97800980578
bitcoin,63211.867421926196,,,63104.790067718175
bitcoin,63327.035565487575,,,63136.07800780425
bitcoin,63281.38889027068,,,63157.95982387996
bitcoin,63276.43505382544,,,63182.1744203285
bitcoin,63195.69319932743,,,63200.10739164807
bitcoin,63153.94261495951,,,63208.1355157748
bitcoin,63135.94706839281,,,63212.154916280204
bitcoin,63245.85509990384,,,63220.38000093133
bitcoin,63404.0397412204,,,63242.766438174025
bitcoin,63221.03626631864,,,63245.32409216326
bitcoin,62994.183303289064,,,63223.55568029954
bitcoin,63172.702042744386,,,63208.12232802523
bitcoin,63128.63365328686,,,63192.846804326844
bitcoin,63143.39093156379,,,63179.54239210067
bitcoin,62950.492870246606,,,63155.02235919259
bitcoin,62872.55269458728,,,63126.883367155366
bitcoin,63029.7759254394,,,63116.266252860034
bitcoin,62849.84372885954,,,63076.66511575559
bitcoin,62720.62608203571,,,63008.32374983713
bitcoin,62630.55580520489,,,62949.275703725754
